"SPPCODE","lon","lat","bioclim_01","bioclim_04","bioclim_05","bioclim_06","bioclim_12","bioclim_15","bioclim_16","bioclim_17"
"Acrobates_pygmaeus",149.98,-36.73,15.5,3.6,24.9,4.4,880,0.222963611066373,266,162
"Acrobates_pygmaeus",152.48,-31.84,18.1,4,28.7,6.1,1227,0.423668712458436,463,146
"Acrobates_pygmaeus",149.91,-34.08,10.8,4.9,23.9,-0.3,910,0.10631972370168,251,199
"Acrobates_pygmaeus",150.67,-32.98,16.4,4.8,29.3,3.1,748,0.325306976197104,269,115
"Acrobates_pygmaeus",151.49,-33.1,17.9,3.9,27.4,6.9,1097,0.314726222635439,381,174
"Acrobates_pygmaeus",149.64,-36.89,13.5,4.2,25.1,1.5,906,0.227408410194687,262,169
"Acrobates_pygmaeus",148.57,-35.04,12.7,5.5,27.6,0.9,1008,0.257959402849878,335,173
"Acrobates_pygmaeus",150.87,-33.49,17.8,4.5,29.7,4.7,848,0.334011320083735,312,134
"Acrobates_pygmaeus",151.13,-30.4,15.2,5.4,29.9,0.5,722,0.346993548111544,265,126
"Acrobates_pygmaeus",151.4,-33.44,17.8,3.7,26.8,7.2,1302,0.29337239920416,437,216
"Acrobates_pygmaeus",152.15,-28.84,14.5,4.4,25.6,2.2,942,0.404161787461346,357,122
"Acrobates_pygmaeus",151.5,-32.72,18,4.5,30.1,5.5,826,0.355876763533712,306,120
"Acrobates_pygmaeus",150.98,-33.52,17.3,4.3,28.6,5.1,943,0.320425804583231,342,149
"Acrobates_pygmaeus",151.03,-32.72,17.5,4.8,30.5,4.3,711,0.340676431723106,256,105
"Acrobates_pygmaeus",151.64,-33,17.9,3.8,27.2,7.1,1160,0.314411659477544,401,185
"Acrobates_pygmaeus",150.57,-32.54,15.9,5,29.4,2.7,723,0.25373291615479,241,131
"Acrobates_pygmaeus",150.41,-32.48,15.9,5.2,29.7,2.4,687,0.233147723697501,223,131
"Acrobates_pygmaeus",153.15,-30.22,19.1,3.6,27.6,8.7,1549,0.468074147083596,591,169
"Acrobates_pygmaeus",150.95,-32.67,16.4,4.7,29.2,3.8,793,0.327330464672435,286,123
"Acrobates_pygmaeus",150.96,-32.66,16.4,4.7,29.1,3.8,799,0.324922127664485,288,124
"Acrobates_pygmaeus",152.63,-29.56,18.6,4.7,30.8,3.2,1068,0.550805368865837,451,93
"Acrobates_pygmaeus",150.44,-32.6,16,5.1,29.7,2.5,699,0.230181501155828,227,133
"Acrobates_pygmaeus",152.4,-31.7,17.8,4.1,28.7,5.7,1348,0.469420926788647,550,143
"Acrobates_pygmaeus",152.76,-30.97,18.2,3.9,28.7,5.8,1170,0.456096323576578,453,118
"Acrobates_pygmaeus",152.76,-31.47,18.1,3.8,27.8,6.7,1300,0.415842857911148,475,144
"Acrobates_pygmaeus",152.4,-32.12,18.1,3.9,28.1,6.5,1108,0.364571108572285,388,159
"Acrobates_pygmaeus",152.35,-31.67,16.4,4,27.3,4.8,1457,0.475086839662374,595,152
"Acrobates_pygmaeus",150.12,-36.28,15.9,3.3,24.4,6,923,0.223733680654298,284,165
"Acrobates_pygmaeus",153.15,-30.18,19.1,3.6,27.8,8.5,1523,0.465895753299997,579,167
"Acrobates_pygmaeus",151.44,-32.85,17.4,4.3,28.9,5.2,866,0.347591814687896,320,128
"Acrobates_pygmaeus",150.13,-36.11,15.8,3.4,24.5,5.1,943,0.225001008272129,291,164
